Tag,Title,Authors,Month,Year
Cheng_2014_CVPR,Fast and Accurate Image Matching with Cascade Hashing for 3D Reconstruction,"Cheng, Jian and Leng, Cong and Wu, Jiaxiang and Cui, Hainan and Lu, Hanqing",June,2014
Hartmann_2014_CVPR,Predicting Matchability,"Hartmann, Wilfried and Havlena, Michal and Schindler, Konrad",June,2014
Ponce_2014_CVPR,Trinocular Geometry Revisited,"Ponce, Jean and Hebert, Martial",June,2014
Wu_2014_CVPR,Critical Configurations For Radial Distortion Self-Calibration,"Wu, Changchang",June,2014
Kuang_2014_CVPR,Minimal Solvers for Relative Pose with a Single Unknown Radial Distortion,"Kuang, Yubin and Solem, Jan E. and Kahl, Fredrik and Astrom, Kalle",June,2014
Vicente_2014_CVPR,Reconstructing PASCAL VOC,"Vicente, Sara and Carreira, Joao and Agapito, Lourdes and Batista, Jorge",June,2014
Galasso_2014_CVPR,Spectral Graph Reduction for Efficient Image and Streaming Video Segmentation,"Galasso, Fabio and Keuper, Margret and Brox, Thomas and Schiele, Bernt",June,2014
Liu_2014_CVPR,Weakly Supervised Multiclass Video Segmentation,"Liu, Xiao and Tao, Dacheng and Song, Mingli and Ruan, Ying and Chen, Chun and Bu, Jiajun",June,2014
Luo_2014_CVPR,Video Motion Segmentation Using New Adaptive Manifold Denoising Model,"Luo, Dijun and Huang, Heng",June,2014
Beier_2014_CVPR,"Cut, Glue & Cut: A Fast, Approximate Solver for Multicut Partitioning","Beier, Thorsten and Kroeger, Thorben and Kappes, Jorg H. and Kothe, Ullrich and Hamprecht, Fred A.",June,2014
Bulo_2014_CVPR,Neural Decision Forests for Semantic Image Labelling,"Rota Bulo, Samuel and Kontschieder, Peter",June,2014
Ladicky_2014_CVPR,Pulling Things out of Perspective,"Ladicky, Lubor and Shi, Jianbo and Pollefeys, Marc",June,2014
Xu_2014_CVPR,Event Detection using Multi-Level Relevance Labels and Multiple Features,"Xu, Zhongwen and Tsang, Ivor W. and Yang, Yi and Ma, Zhigang and Hauptmann, Alexander G.",June,2014
Liwicki_2014_CVPR,Full-Angle Quaternions for Robustly Matching Vectors of 3D Rotations,"Liwicki, Stephan and Pham, Minh-Tri and Zafeiriou, Stefanos and Pantic, Maja and Stenger, Bjorn",June,2014
