Tag,Title,Authors,Month,Year,JournalRef
Cheng_2014_CVPR,Fast and Accurate Image Matching with Cascade Hashing for 3D Reconstruction,"Cheng, Jian and Leng, Cong and Wu, Jiaxiang and Cui, Hainan and Lu, Hanqing",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 1-8"
Hartmann_2014_CVPR,Predicting Matchability,"Hartmann, Wilfried and Havlena, Michal and Schindler, Konrad",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 9-16"
Ponce_2014_CVPR,Trinocular Geometry Revisited,"Ponce, Jean and Hebert, Martial",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 17-24"
Wu_2014_CVPR,Critical Configurations For Radial Distortion Self-Calibration,"Wu, Changchang",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 25-32"
Kuang_2014_CVPR,Minimal Solvers for Relative Pose with a Single Unknown Radial Distortion,"Kuang, Yubin and Solem, Jan E. and Kahl, Fredrik and Astrom, Kalle",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 33-40"
Vicente_2014_CVPR,Reconstructing PASCAL VOC,"Vicente, Sara and Carreira, Joao and Agapito, Lourdes and Batista, Jorge",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 41-48"
Galasso_2014_CVPR,Spectral Graph Reduction for Efficient Image and Streaming Video Segmentation,"Galasso, Fabio and Keuper, Margret and Brox, Thomas and Schiele, Bernt",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 49-56"
Liu_2014_CVPR,Weakly Supervised Multiclass Video Segmentation,"Liu, Xiao and Tao, Dacheng and Song, Mingli and Ruan, Ying and Chen, Chun and Bu, Jiajun",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 57-64"
Luo_2014_CVPR,Video Motion Segmentation Using New Adaptive Manifold Denoising Model,"Luo, Dijun and Huang, Heng",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 65-72"
Beier_2014_CVPR,"Cut, Glue & Cut: A Fast, Approximate Solver for Multicut Partitioning","Beier, Thorsten and Kroeger, Thorben and Kappes, Jorg H. and Kothe, Ullrich and Hamprecht, Fred A.",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 73-80"
Bulo_2014_CVPR,Neural Decision Forests for Semantic Image Labelling,"Rota Bulo, Samuel and Kontschieder, Peter",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 81-88"
Ladicky_2014_CVPR,Pulling Things out of Perspective,"Ladicky, Lubor and Shi, Jianbo and Pollefeys, Marc",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 89-96"
Xu_2014_CVPR,Event Detection using Multi-Level Relevance Labels and Multiple Features,"Xu, Zhongwen and Tsang, Ivor W. and Yang, Yi and Ma, Zhigang and Hauptmann, Alexander G.",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 97-104"
Liwicki_2014_CVPR,Full-Angle Quaternions for Robustly Matching Vectors of 3D Rotations,"Liwicki, Stephan and Pham, Minh-Tri and Zafeiriou, Stefanos and Pantic, Maja and Stenger, Bjorn",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 105-112"
Borji_2014_CVPR,Human vs. Computer in Scene and Object Recognition,"Borji, Ali and Itti, Laurent",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 105-112"
Mahmood_2014_CVPR,Semi-supervised Spectral Clustering for Image Set Classification,"Mahmood, Arif and Mian, Ajmal and Owens, Robyn",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 121-128"
Rezaei_2014_CVPR,"Look at the Driver, Look at the Road: No Distraction! No Accident!","Rezaei, Mahdi and Klette, Reinhard",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 129-136"
Gardner_2014_CVPR,Measuring Distance Between Unordered Sets of Different Sizes,"Gardner, Andrew and Kanno, Jinko and Duncan, Christian A. and Selmic, Rastko",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 137-143"
Zhao_2014_CVPR,Learning Mid-level Filters for Person Re-identification,"Zhao, Rui and Ouyang, Wanli and Wang, Xiaogang",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 144-151"
Li_2014_CVPR,DeepReID: Deep Filter Pairing Neural Network for Person Re-Identification,"Li, Wei and Zhao, Rui and Xiao, Tong and Wang, Xiaogang",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 152-159"
Quan_2014_CVPR,Lacunarity Analysis on Image Patterns for Texture Classification,"Quan, Yuhui and Xu, Yong and Sun, Yuping and Luo, Yu",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 160-167"
