_id,Tag,Title,Authors,Month,Year,JournalRef,Up_System
0,arXiv:1902.11100,Usage of analytic hierarchy process for steganographic inserts detection in images,"S. V. Belim, D. E. Vilkhovskiy",December,2018,"2016 Dynamics of Systems, Mechanisms and Machines (Dynamics), Omsk, Russia, pp. 1-5",CM
1,arXiv:1901.05876,Residual Attention based Network for Hand Bone Age Assessment,"Eric Wu, Bin Kong, Xin Wang, Junjie Bai, Yi Lu, Feng Gao, Shaoting Zhang, Kunlin Cao, Qi Song, Siwei Lyu, Youbing Yin",December,2018,,CM
2,arXiv:1901.05064,A novel 3D display based on micro-volumetric scanning and real time reconstruction of holograms principle,Guangjun Wang,December,2018,,CM
3,arXiv:1901.04988,A Survey of FPGA Based Deep Learning Accelerators: Challenges and Opportunities,"Teng Wang, Chao Wang, Xuehai Zhou, Huaping Chen",December,2018,,CM
4,arXiv:1901.02520,Lattice Identification and Separation: Theory and Algorithm,"Yuchen He, Sung Ha Kang",December,2018,,CM
5,arXiv:1901.02338,Sparse One-Time Grab Sampling of Inliers,"Maryam Jaberi, Marianna Pensky, Hassan Foroosh",December,2018,,CM
6,arXiv:1901.00738,Resource-Scalable CNN Synthesis for IoT Applications,"Mohammad Motamedi, Felix Portillo, Mahya Saffarpour, Daniel Fong, Soheil Ghiasi",December,2018,,CM
7,arXiv:1901.00726,"Topology, homogeneity and scale factors for object detection: application of eCognition software for urban mapping using multispectral satellite image",Polina Lemenkova,December,2018,"Proceedings of 7th International Conference 'Internet and Society. Modelling' INSO2015, 2015 (80-85)",CM
8,arXiv:1901.00516,Honey Authentication with Machine Learning Augmented Bright-Field Microscopy,"Peter He, Alexis Gkantiragas, Gerard Glowacki",December,2018,,CM
9,arXiv:1901.00449,Instant Automated Inference of Perceived Mental Stress through Smartphone PPG and Thermal Imaging,"Youngjun Cho, Simon J. Julier, Nadia Bianchi-Berthouze",December,2018,,CM
10,arXiv:1901.00418,AVRA: Automatic Visual Ratings of Atrophy from MRI images using Recurrent Convolutional Neural Networks,"Gustav Mrtensson, Daniel Ferreira, Lena Cavallin, J-Sebastian Muehlboeck, Lars-Olof Wahlund, Chunliang Wang, Eric Westman",December,2018,,CM
11,arXiv:1901.00039,Mask-aware networks for crowd counting,"Shengqin Jiang, Xiaobo Lu, Yinjie Lei, Lingqiao Liu",December,2018,,CM
12,arXiv:1901.00001,Impact of Ground Truth Annotation Quality on Performance of Semantic Image Segmentation of Traffic Conditions,"Vlad Taran, Yuri Gordienko, Alexandr Rokovyi, Oleg Alienin, Sergii Stirenko",December,2018,"Hu Z., Petoukhov S., Dychka I., He M. (eds) Advances in Computer Science for Engineering and Education II. ICCSEEA 2019. Advances in Intelligent Systems and Computing, vol 938 (pp.183-193). Springer, Cham",CM
13,arXiv:1812.11834,Sequential Gating Ensemble Network for Noise Robust Multi-Scale Face Restoration,"Zhibo Chen, Jianxin Lin, Tiankuang Zhou, Feng Wu",December,2018,,CM
14,arXiv:1812.11677,ADMM-NN: An Algorithm-Hardware Co-Design Framework of DNNs Using Alternating Direction Method of Multipliers,"Ao Ren, Tianyun Zhang, Shaokai Ye, Jiayu Li, Wenyao Xu, Xuehai Qian, Xue Lin, Yanzhi Wang",December,2018,,CM
15,arXiv:1812.11671,Unsupervised monocular stereo matching,"Zhimin Zhang, Jianzhong Qiao, Shukuan Lin",December,2018,,CM
16,arXiv:1812.11606,Solar Potential Analysis of Rooftops Using Satellite Imagery,"Akash Kumar, S. Indu",December,2018,,CM
17,arXiv:1812.11588,Cascaded V-Net using ROI masks for brain tumor segmentation,"Adri Casamitjana, Marcel Cat, Irina Snchez, Marc Combalia, Vernica Vilaplana",December,2018,"Brainlesion: Glioma, Multiple Sclerosis, Stroke and Traumatic Brain Injuries, Series volume 10670, 2018, Springer International Publishing AG, part of Springer Nature",CM
