A_id,B_id
1001,2293
1007,7117
1007,9805
1016,1227
1016,6374
1016,2602
1016,8955
1019,1300
1019,3745
1019,1294
1037,6099
1043,690
1043,6851
1046,8894
1052,9947
1052,972
1058,412
107,7400
107,6252
107,5057
1073,3634
1079,1129
1079,9997
1085,2820
1085,6284
1085,2761
1085,6613
1085,3512
1085,1591
1085,6676
1085,7145
1097,8202
1109,499
1109,6284
1112,5233
1115,1687
1115,1003
1115,1866
1115,5540
1115,3643
1115,3010
1115,9547
1115,9419
1115,8040
1118,9924
1118,6148
1124,9439
1124,2137
1124,1949
113,375
1130,7156
1130,1878
1130,6120
1130,6141
1130,798
1139,4830
1139,4845
1142,3716
1145,1863
1145,476
1145,4901
1154,7982
1157,5860
1157,375
1157,2726
1163,3073
1166,798
1166,6141
1166,1786
1166,7724
1166,8319
1175,9543
1181,6284
1184,1971
1184,3771
1187,7621
1196,115
1196,2698
1196,2381
1205,9664
1205,7795
1205,3368
1208,109
1208,3712
1208,799
1208,5647
1214,181
122,2698
1229,5736
1229,690
1232,5010
1232,5233
1238,1080
1241,7156
1241,4058
1241,6122
1241,5181
1247,6312
125,4679
1253,304
1259,4830
1259,4756
1259,5745
1259,5146
1259,5742
1259,775
1262,7994
1262,8111
1262,5307
1262,2123
1268,6039
1274,7399
1274,9292
1274,9304
1274,538
1274,2173
1274,5998
1277,3384
1277,9675
1280,6255
1280,1208
1280,1095
1280,5432
1280,2506
1280,2836
1280,6942
1280,7754
1280,8040
1280,8239
1283,8946
1289,6629
1295,5690
1295,3850
1295,987
1301,8529
1301,5488
1307,8396
1307,8833
1307,9664
131,3810
1313,1322
1313,1279
1313,8509
1316,9545
1316,9499
1322,7590
1331,1048
1331,446
1331,9613
1343,2013
1349,4304
1358,8197
1367,8490
1367,9675
1385,8412
1385,1725
1391,9869
1397,276
1400,6481
1400,972
1400,1177
1400,3368
1400,1641
1400,6151
1400,7176
1400,8183
1400,8412
1406,9335
1412,1699
1415,2935
1418,9533
1418,9439
1418,8552
1418,7148
1421,5251
1427,9163
1427,9624
1427,8877
1427,8686
1427,1527
1427,3561
143,2141
143,2376
1430,4785
1430,6141
1430,4972
1430,798
1433,798
1436,6284
1436,2312
1436,5628
1436,1623
1436,6374
1436,9326
1448,5057
1448,5251
1448,3561
1454,6163
1460,929
1460,6161
1466,9624
1466,8383
1466,3576
1469,5047
1469,6563
1469,499
1469,9292
1478,1981
1478,1866
1478,7182
1481,7843
1481,3864
1481,4512
1481,6515
1481,2466
1481,1501
1481,127
1481,6292
1481,5513
1484,9741
1484,9895
1490,8795
1493,6936
1496,2713
1505,7182
1505,3371
1508,2314
1508,198
1508,1120
1508,6658
1508,5829
1508,2118
1511,9546
1511,9420
1511,9418
1511,9547
1511,6563
1511,5141
1517,7147
1517,1930
152,4816
1520,5690
1529,6661
1529,5883
1529,4864
1529,3331
1532,3634
1535,1020
1541,143
1547,2860
1547,927
1547,7994
155,7552
155,2048
1553,4240
1553,5387
1553,3104
1559,3001
1562,1909
1568,3864
1568,5002
1568,4771
1568,798
1568,6141
1568,9292
1568,8012
1571,9807
1571,9292
1571,8428
1571,3542
1571,2366
1571,3180
1571,2365
1571,2367
158,3946
158,5268
158,3321
158,8412
1583,8867
1586,1457
1586,1267
1589,6054
1589,5860
1589,2726
1595,9788
1607,2822
161,6814
161,4012
161,5543
161,1012
161,1978
161,5424
161,3746
161,1498
1613,2686
1613,519
1613,3771
1616,9843
1619,1986
1619,4771
1619,5436
1619,6284
1619,9543
1622,7903
1625,8867
1625,941
1625,346
1628,9242
1628,8686
1634,8503
1634,2123
1634,5486
1637,1109
1637,446
1637,1048
1637,1061
1637,7353
1637,8048
1649,7275
1649,9533
1649,1943
1649,1107
1652,6284
1652,9326
1652,9360
1655,1866
1667,1129
1667,5605
1667,1668
1667,5229
1673,8827
1676,5486
1682,8502
1685,6879
1685,9685
1685,9418
1685,6930
1685,9419
1685,8405
1685,6321
1685,5868
1685,5294
1685,5686
1685,6563
1685,1742
1685,5814
1685,5796
1685,984
1697,8612
1697,7313
1703,1895
1706,4845
1709,5134
1724,387
1727,4240
1730,8265
1730,446
1730,6563
1739,1909
1739,6284
1739,1204
1745,5146
1748,4391
1754,7927
1757,2381
1757,2698
1763,3505
1763,4034
1763,3865
1763,3542
1763,2910
1766,4919
1775,3060
1775,9439
1775,9381
1799,7922
1799,7034
1799,7186
1799,2113
1799,2393
1799,1498
1799,3073
1799,5228
1799,5756
1799,1623
1805,206
1805,4401
1805,1177
1808,320
1820,1107
1820,5787
1820,283
1835,700
1838,618
1838,2708
1841,5251
1844,5498
1847,1107
1847,5116
1847,6613
1850,273
1850,153
1853,26
1853,1895
1853,476
1856,8310
1856,6284
1856,575
1862,4921
1862,3098
1862,7182
1865,7620
1865,6186
1868,4307
1868,1511
1877,6216
1883,8111
1898,5203
1898,4558
1898,5215
1898,6553
1898,2034
1898,2743
1898,9292
1913,1641
1913,1501
1913,2466
1913,5513
1913,6527
1913,9615
1913,8187
1919,4204
1919,2523
1919,6202
1922,2169
1922,7464
1922,7485
1922,7666
1922,8796
1925,7922
1925,2353
1925,773
1928,4973
1928,127
1934,2614
1934,4179
1934,1712
1934,5434
1940,2516
1943,5787
